,fips,fraction_votes,candidate
381,19055,0.0060000000000000001,Chris Christie
382,19055,0.221,Donald Trump
383,19055,0.55000000000000004,Hillary Clinton
384,19055,0.021000000000000001,Jeb Bush
385,19055,0.002,John Kasich
386,19055,0.192,Marco Rubio
387,19055,0.02,Martin O'Malley
388,19055,0.0080000000000000002,Mike Huckabee
389,19055,0.029999999999999999,Rand Paul
390,19055,0.0030000000000000001,Rick Santorum
391,19055,0.35499999999999998,Ted Cruz
392,19057,0.098000000000000004,Ben Carson
393,19057,0.53299999999999992,Bernie Sanders
394,19057,0.0080000000000000002,Carly Fiorina
395,19057,0.016,Chris Christie
396,19057,0.30399999999999999,Donald Trump
397,19057,0.46700000000000003,Hillary Clinton
398,19057,0.0090000000000000011,Jeb Bush
399,19057,0.0090000000000000011,John Kasich
400,19057,0.20799999999999999,Marco Rubio
401,19057,0.0,Martin O'Malley
402,19057,0.014,Mike Huckabee
403,19057,0.045999999999999999,Rand Paul
404,19057,0.0030000000000000001,Rick Santorum
405,19057,0.28300000000000003,Ted Cruz
406,19059,0.13200000000000001,Ben Carson
407,19059,0.51200000000000001,Bernie Sanders
408,19059,0.01,Carly Fiorina
409,19059,0.0069999999999999993,Chris Christie
410,19059,0.28499999999999998,Donald Trump
411,19059,0.48799999999999999,Hillary Clinton
412,19059,0.037999999999999999,Jeb Bush
413,19059,0.021999999999999999,John Kasich
414,19059,0.23799999999999999,Marco Rubio
415,19059,0.0,Martin O'Malley
416,19059,0.012,Mike Huckabee
417,19059,0.028000000000000001,Rand Paul
418,19059,0.01,Rick Santorum
419,19059,0.21600000000000005,Ted Cruz
420,19061,0.097000000000000003,Ben Carson
421,19061,0.47399999999999998,Bernie Sanders
422,19061,0.024,Carly Fiorina
423,19061,0.019,Chris Christie
424,19061,0.27300000000000002,Donald Trump
425,19061,0.52200000000000002,Hillary Clinton
426,19061,0.024,Jeb Bush
427,19061,0.014,John Kasich
428,19061,0.26700000000000002,Marco Rubio
429,19061,0.0040000000000000001,Martin O'Malley
430,19061,0.012,Mike Huckabee
431,19061,0.058000000000000003,Rand Paul
432,19061,0.0050000000000000001,Rick Santorum
433,19061,0.20699999999999999,Ted Cruz
434,19063,0.122,Ben Carson
435,19063,0.44,Bernie Sanders
