,party1,candidate1,party2,candidate2,Rvalue,Pvalue,StdError,Slope,Intercept
34,Republican,Carly Fiorina,Republican,Jeb Bush,0.009552511017360649,0.92562247114135243,0.06770369767336723,0.0063370242349678691,0.023545306305778509
35,Republican,Carly Fiorina,Republican,John Kasich,0.0040792163121693755,0.96820138149555002,0.054460263027389835,0.0021766855793453905,0.012313120501854465
36,Republican,Carly Fiorina,Republican,Marco Rubio,0.029656240538514823,0.77190900643991256,0.31553824652747298,0.091726491720633102,0.18626732748377245
37,Republican,Carly Fiorina,Democrat,Martin O'Malley,-0.042288829103236031,0.67927568764148805,0.12599241266330144,-0.052250969293561107,0.0092710349095901853
38,Republican,Carly Fiorina,Republican,Mike Huckabee,-0.29532683132893656,0.0031549546152345636,0.095358910138533634,-0.28881267735330657,0.029902313535859731
39,Republican,Carly Fiorina,Republican,Rand Paul,0.15134264011082774,0.13686283778752451,0.09989215305976118,0.1498510570219517,0.031214236785535629
40,Republican,Carly Fiorina,Republican,Rick Santorum,0.036432112689465682,0.72172799787587516,0.061432024206471321,0.021943364113379951,0.0095460025747681719
41,Republican,Carly Fiorina,Republican,Ted Cruz,-0.19275597391858024,0.057226420653167846,0.31324585923067555,-0.60290735491391634,0.31104043242285084
42,Republican,Chris Christie,Republican,Ben Carson,-0.26434172510120796,0.0085325759857437303,0.40423461255333143,-1.0855867554754006,0.11968437786836456
43,Republican,Chris Christie,Democrat,Bernie Sanders,0.09078880549756746,0.37396566913894391,0.90681683176213579,0.80999953218940191,0.46217031209419451
44,Republican,Chris Christie,Republican,Carly Fiorina,-0.13019303396283827,0.20133591003734413,0.20972707739626859,-0.26982992665052452,0.023668951410610269
45,Republican,Chris Christie,Republican,Chris Christie,1.0,0.0,0.0,1.0,0.0
46,Republican,Chris Christie,Republican,Donald Trump,-0.042425684145826939,0.67829495423937969,0.64887384048931651,-0.26997026982992656,0.27276257966895145
47,Republican,Chris Christie,Democrat,Hillary Clinton,-0.079408859077439886,0.4370113596761801,0.88795198135020936,-0.69305494838758563,0.52767358918809049
48,Republican,Chris Christie,Republican,Jeb Bush,0.18954581889954036,0.061578809206453103,0.13778101913272892,0.26060599216981856,0.020346754120362829
49,Republican,Chris Christie,Republican,John Kasich,0.25190426448036046,0.01234173252028796,0.10923199469344874,0.2785844373932303,0.0088009272328680513
